"image.files","Perimeter","Area","Width.Mid.height","Maximum.Width","Height.Mid.width","Maximum.Height","Curved.Height","X"
"CORNELL.tif - 1","32,3999","50,2267","7,0739","8,0264","7,5184","10,668","11,1398",NA
"CORNELL.tif - 2","36,5933","64,8707","7,5184","8,8519","10,1473","11,7729","13,5806",NA
"CORNELL.tif - 3","34,4868","54,982","7,3406","8,3439","8,5852","11,3665","12,8464",NA
"CORNELL.tif - 4","37,7679","67,1162","7,9375","8,8773","9,0805","11,8745","13,7861",NA
"XANA_1.tif - 1","41,6391","91,1516","10,4775","11,7983","9,2202","11,7729","12,0646",NA
"XANA_1.tif - 2","42,0875","85,2529","9,5377","10,2997","8,9916","12,7254","14,1844",NA
"XANA_2.tif - 1","47,9217","117,0786","11,0871","11,7729","11,4427","14,3129","16,6469",NA
"XANA_2.tif - 2","39,3874","77,6084","9,4234","10,2362","8,2169","11,6078","11,8747",NA
"XC2_1.tif - 1","44,8293","103,5496","10,287","11,6205","11,7221","13,843","15,7121",NA
"XC2_1.tif - 2","42,7785","89,6156","9,7663","10,7315","9,9695","12,9921","15,3741",NA
"XC2_2.tif - 1","37,601","71,2418","9,6774","10,0965","8,1407","10,2489","12,4845",NA
"XC5.tif - 1","37,0453","56,9047","8,0518","9,3218","8,6614","10,541","12,144",NA
"XC5.tif - 2","31,852","55,2897","8,6614","9,1948","7,7089","8,8392","10,0166",NA
"XC06_2.tif - 1","44,2117","104,1735","10,9093","11,6332","9,7663","13,0175","15,3577",NA
"XC06_2.tif - 2","34,0645","60,0252","7,6454","8,255","8,3439","10,6553","12,4807",NA
"XC6.tif - 1","38,0746","75,7613","9,7917","10,4902","8,3312","11,0617","13,1468",NA
"XC6.tif - 2","43,8477","88,9926","9,9441","10,6172","10,1981","13,8557","14,6982",NA
"XC6.tif - 3","36,2723","67,0052","8,9535","9,2964","7,6835","10,1219","12,5987",NA
"XC7_1.tif - 1","50,8036","117,0241","11,4554","12,7127","9,4869","13,8684","15,2732",NA
"XC7_1.tif - 2","45,2655","98,4251","11,6713","11,8872","8,2804","12,4587","14,6356",NA
"XC10.tif - 1","37,1574","68,4747","8,3185","9,4234","8,9408","11,3538","12,9002",NA
"XC10.tif - 2","35,8402","63,7429","8,3058","9,3599","8,3185","10,8458","12,5853",NA
"XC10.tif - 3","32,4963","52,601","7,2009","8,0137","7,747","10,0838","11,4548",NA
"XC12_1.tif - 1","45,2475","100,1433","11,9634","13,0048","7,874","11,9126","12,0304",NA
"XC12_1.tif - 2","45,8938","110,4478","11,2268","12,5095","10,3886","13,8557","15,9202",NA
"XC12_2.tif - 1","47,6452","114,5699","11,3284","12,4714","9,7663","14,1224","15,103",NA
"XC12_2.tif - 2","44,2171","104,8988","11,2776","12,192","9,6901","13,3985","14,7301",NA
"XC13_1.tif - 1","48,8048","111,5956","10,7315","11,4046","11,5189","15,0749","17,2736",NA
"XC13_1.tif - 2","46,8156","105,8441","10,2743","10,8966","10,7061","14,4272","16,6604",NA
"XC13_2.tif - 1","46,0425","91,5734","8,2804","9,9695","10,8458","14,0843","17,6047",NA
"XC13_2.tif - 2","42,0596","88,7579","9,5885","10,7315","9,6774","12,6238","14,5834",NA
"XC14_1.tif - 1","45,0874","109,6011","10,8458","11,3538","11,4935","14,3383","13,8724",NA
"XC14_2.tif - 1","48,7028","122,8257","11,2268","12,0269","12,319","15,1257","14,836",NA
"XC14_2.tif - 2","44,4801","106,4485","10,8966","11,9253","10,5791","13,6144","15,5474",NA
"XC16_1.tif - 1","52,9356","138,8934","11,8872","13,3985","12,2174","16,2179","16,5132",NA
"XC16_1.tif - 2","31,651","51,0205","8,1026","8,9535","6,6421","8,4455","10,2466",NA
"XC16_2.tif - 1","44,8489","92,2771","9,906","10,3886","9,3726","13,0175","14,2826",NA
"XC16_2.tif - 2","40,8447","85,4084","10,033","10,3886","8,6614","12,2936","12,1798",NA
"XC17_1.tif - 1","43,5337","96,1567","10,4902","11,938","10,0584","13,5001","15,2275",NA
"XC17_1.tif - 2","37,23","74,3389","8,9662","10,3759","8,9789","11,7983","12,8847",NA
"XC17_2.tif - 1","37,7569","75,4103","9,1694","10,3886","8,8392","11,3157","13,0238",NA
"XC17_2.tif - 2","37,5382","74,759","10,0457","10,8204","7,7343","11,2649","11,8488",NA
"XC18.tif - 1","38,4102","73,41","9,6139","10,4394","8,7757","11,3792","13,3114",NA
"XC18.tif - 2","33,8954","61,5329","7,6581","8,7757","8,2042","10,5537","12,0666",NA
"XC18.tif - 3","42,1676","80,6685","8,9662","9,4615","10,9982","12,9286","14,8306",NA
"XC18.tif - 4","39,0063","70,5236","8,2423","8,8138","10,2616","12,8143","14,3307",NA
"XC21.tif - 1","36,2216","65,0612","7,6835","9,2202","9,8298","11,7983","11,9109",NA
"XC21.tif - 2","32,6192","53,9013","7,747","8,4328","7,5057","10,2108","11,4793",NA
"XC21.tif - 3","37,5494","69,4908","8,5852","9,8552","8,4836","11,6713","11,6728",NA
"XC21_defiencia.tif - 1","34,3634","58,0952","7,493","8,8011","8,0137","11,303","12,2597",NA
"XC22_1.tif - 1","36,3455","63,7904","8,5344","9,0551","8,9027","10,9982","13,1503",NA
"XC22_1.tif - 2","40,4619","82,7982","9,779","9,9949","9,8044","12,5857","14,2417",NA
"XC22_2.tif - 1","38,0103","70,7824","7,874","9,2964","9,4615","11,7221","13,881",NA
"XC22_2.tif - 2","43,7299","90,2511","9,4361","10,9474","10,7315","13,6271","15,6114",NA
"XC25.tif - 1","43,4295","93,9787","11,4935","11,684","7,8613","11,0871","12,3729",NA
"XC25.tif - 2","42,8565","92,1329","9,7917","10,1092","10,4521","13,3858","15,2503",NA
"XC27_1.tif - 1","50,9424","111,7901","11,8364","13,1064","10,7315","14,2494","17,0632",NA
"XC27_1.tif - 2","40,8719","85,2835","9,5885","10,3759","9,7409","12,5857","14,5536",NA
"XC27_2.tif - 1","43,1498","92,4132","9,7536","11,0236","10,6172","12,7127","15,1527",NA
"XC27_2.tif - 2","43,1944","88,9869","9,1186","10,4902","11,4427","13,7922","15,8559",NA
"XC30.tif - 1","39,937","74,28","8,6995","9,2583","9,6012","12,2301","12,9883",NA
"XC30.tif - 2","38,3706","70,7661","8,382","8,9154","9,3091","12,0523","12,9765",NA
"XC30.tif - 3","40,5394","74,9531","8,6614","9,5885","9,0424","11,8745","12,5392",NA
"XC30.tif - 4","37,0182","66,3331","8,4201","8,8265","7,9883","10,8839","12,6018",NA
"XC31.tif - 1","41,6333","80,5348","8,9154","10,5283","8,5725","12,3063","14,4464",NA
"XC31.tif - 2","42,4685","92,4629","11,176","11,9761","9,1313","12,0015","13,9365",NA
"XC32.tif - 1","30,687","49,1325","7,1755","7,8105","7,6581","9,4996","11,1552",NA
"XC35_1.tif - 1","41,555","93,4335","10,5156","11,8491","9,9695","12,5222","13,8764",NA
"XC35_2.tif - 1","44,3787","88,4448","9,779","11,6713","8,9789","12,6365","14,9289",NA
"XC35_2.tif - 2","43,5752","91,43","9,0043","10,8966","10,4775","13,5382","15,3221",NA
"XC37.tif - 1","34,0979","52,4333","6,6167","8,4582","8,9027","10,4267","12,514",NA
"XC37.tif - 2","32,312","50,9473","7,0739","8,6487","8,4963","9,5631","11,6941",NA
"XC37.tif - 3","30,2881","45,568","7,2898","8,5471","7,6327","8,6487","10,0953",NA
"XC38_1.tif - 1","41,0931","85,7239","9,6647","10,8077","8,9535","12,4714","14,6418",NA
"XC38_1.tif - 2","38,9117","81,8552","9,6266","10,3505","8,6868","11,7856","12,0148",NA
"XC38_2.tif - 1","37,8133","76,4715","9,3599","10,2616","8,8265","11,2014","12,8425",NA
"XC38_2.tif - 2","37,0626","72,2615","8,4836","9,6266","9,3218","11,6205","11,8024",NA
"XC39.tif - 1","49,6895","124,3146","10,9728","12,0904","12,0015","15,6337","16,1937",NA
"XC39.tif - 2","50,1424","128,9967","11,0617","11,9761","12,8905","15,7734","17,0816",NA
"XC40_1.tif - 1","50,4954","123,1815","11,4554","12,0904","11,2903","14,7828","16,2768",NA
"XC40_1.tif - 2","36,7009","66,7234","8,3566","8,9789","7,9756","11,2522","12,5307",NA
"XC40_2.tif - 1","47,9816","114,262","10,7823","11,2522","11,5189","15,0749","16,7305",NA
"XC40_2.tif - 2","44,0037","89,7935","10,3251","10,4267","10,795","12,7","15,2414",NA
"XC41.tif - 1","30,1807","47,1943","6,2357","7,5692","8,5852","9,6774","10,6595",NA
"XC41.tif - 2","36,7591","67,4099","8,2296","9,7917","9,2583","11,938","12,9308",NA
"XC41.tif - 3","25,7934","34,2096","5,3594","6,7564","7,6708","8,3058","9,0418",NA
"XC41.tif - 4","36,3678","68,8695","8,0518","9,1313","10,1219","11,7983","13,1305",NA
"XC44.tif - 1","34,1504","53,8225","6,8326","8,2931","7,9756","9,8806","11,5737",NA
"XC44.tif - 2","37,4903","63,8573","7,3025","8,8519","8,9281","11,7221","14,0985",NA
"XC44.tif - 3","37,5339","67,7981","9,1694","10,0457","7,5565","10,5156","12,7301",NA
"XC44.tif - 4","38,0076","66,9865","8,5217","9,0043","9,1694","10,8077","12,8695",NA
"XC45.tif - 1","46,6678","103,4733","9,9822","10,3124","12,4841","15,113","17,1361",NA
"XC45.tif - 2","35,2245","59,7384","6,8453","8,1534","10,795","11,5824","12,9898",NA
"XC47.tif - 1","35,3416","64,4981","8,3693","9,652","9,1567","11,0236","12,3688",NA
"XC47.tif - 2","38,2744","70,1516","8,7503","9,9949","7,8613","11,2649","13,2712",NA
"XC47.tif - 3","43,4875","93,0387","10,033","10,9728","11,4427","13,0683","15,6961",NA
"XC47.tif - 4","38,5325","79,4573","9,3091","10,4013","10,287","11,5951","13,3655",NA
"XC48.tif - 1","27,3367","43,2333","7,2136","8,4201","7,1501","7,8359","8,5334",NA
"XC48.tif - 2","32,0789","51,0568","7,6962","8,4582","7,7343","10,5664","11,0907",NA
"XC48.tif - 3","32,6259","59,7318","8,509","8,9916","7,747","9,7155","10,7758",NA
"XC48.tif - 4","35,1986","70,5111","9,3345","9,8171","8,9027","11,1125","11,857",NA
"XC49.tif - 1","34,5823","60,5997","8,6233","9,2456","7,9375","9,6266","10,2391",NA
"XC49.tif - 2","31,6827","53,3939","8,0899","8,7884","6,8834","9,2837","10,5484",NA
"XC49.tif - 3","35,7765","67,7891","9,271","10,2362","8,0264","10,2362","11,8",NA
"XC49.tif - 4","37,9334","77,3708","10,3759","11,1887","8,1153","10,7696","11,9909",NA
"XC50.tif - 1","38,5733","74,1061","9,144","10,0711","8,2169","11,7094","12,295",NA
"XC50.tif - 2","39,089","76,7357","10,1473","10,668","8,128","11,4681","12,7519",NA
"XC51_1.tif - 1","48,0402","106,8943","11,0744","12,6111","10,1473","14,6304","14,621",NA
"XC51_1.tif - 2","39,9558","69,1766","8,9916","9,5123","7,493","11,4554","13,4873",NA
"XC51_2.tif - 1","44,8297","93,4774","10,2616","10,9601","7,8994","12,6746","15,0182",NA
"XC51_2.tif - 2","43,2924","86,6305","8,9662","9,8679","9,8806","13,9065","15,1672",NA
"XC53.tif - 1","44,0652","96,6566","10,3505","11,0998","9,2075","13,3477","12,8866",NA
"XC53.tif - 2","41,9591","90,9332","9,9695","11,1125","8,9408","12,7254","12,8482",NA
"XC54.tif - 1","34,7981","61,3384","7,5438","8,763","9,5885","10,8204","12,6842",NA
"XC54.tif - 2","43,6719","92,6576","9,7282","10,9601","10,1219","13,1318","14,7178",NA
"XC54.tif - 3","39,6893","72,3073","8,0772","9,8044","9,2837","12,4587","13,8896",NA
"XC54.tif - 4","41,2475","80,3056","9,2837","10,3124","10,2235","12,2555","14,1179",NA
"XC57.tif - 1","38,1358","75,5723","8,4836","9,652","8,9662","12,0904","13,6877",NA
"XC57.tif - 2","43,2059","91,6505","9,4107","10,2235","10,0203","14,1097","16,0385",NA
"XC57.tif - 3","37,0739","63,8931","7,6454","8,8392","9,398","12,0396","11,9108",NA
"XC58_1.tif - 1","40,7141","72,3813","8,5852","9,4996","11,8491","13,1318","15,0978",NA
"XC58_1.tif - 2","44,7655","102,7871","11,0871","11,8999","8,8773","13,0556","14,5466",NA
"XC58_2.tif - 1","45,2365","97,9001","10,6045","11,049","9,2837","13,335","15,2831",NA
"XC58_2.tif - 2","39,4992","77,0813","9,7155","10,1346","7,6835","11,3157","13,1162",NA
"XC59.tif - 1","26,9621","36,2433","6,1087","6,4008","6,6167","8,4455","9,6287",NA
"XC59.tif - 2","34,5412","58,9023","7,8994","8,4201","8,0645","10,2235","11,7409",NA
"XC59.tif - 3","39,3076","76,0336","9,017","9,4361","9,1694","12,0142","13,5428",NA
"XC59.tif - 4","33,3123","52,7233","7,1882","7,7978","7,9629","10,3378","12,0704",NA
"XC60_1.tif - 1","38,8904","82,2485","10,16","10,8839","8,89","11,7856","13,0255",NA
"XC60_1.tif - 2","41,0473","81,639","9,8552","10,287","8,6868","11,8491","12,3171",NA
"XC64_1.tif - 1","39,7791","82,1356","9,3472","10,0203","9,5123","12,319","14,3607",NA
"XC64_2.tif - 1","37,4598","71,1957","9,4234","10,2743","9,0932","10,8077","12,4107",NA
"XC64_3.tif - 1","33,1036","55,1357","7,7343","8,509","7,112","10,0965","11,9041",NA
"XC64_4.tif - 1","39,1318","78,9387","9,652","9,9949","9,7155","11,7602","13,4083",NA
"XC65.tif - 1","37,7822","77,3016","9,6266","10,287","8,8392","10,7569","12,5355",NA
"XC65.tif - 2","31,3485","47,5501","6,9977","8,2042","7,0358","9,5885","10,9242",NA
"XC65.tif - 3","36,6851","68,1286","9,1567","9,4615","7,874","10,3632","10,8562",NA
"XC66_1.tif - 1","44,1057","94,6153","9,8298","11,0363","9,9949","14,1351","13,7616",NA
"XC66_1.tif - 2","45,8227","107,7296","11,5189","11,6967","10,1727","14,1605","14,835",NA
"XC66_2.tif - 1","44,1383","92,9295","10,7061","11,2268","9,4107","12,8524","14,2691",NA
"XC67_1.tif - 1","51,5461","131,5768","12,446","13,0175","10,6934","14,6939","15,2315",NA
"XC67_1.tif - 2","44,4894","106,6433","11,5697","12,6365","10,4013","12,5476","14,5525",NA
"XC67_2.tif - 1","50,9382","138,28","12,8397","13,4239","12,1285","14,9098","16,9118",NA
"XC67_2.tif - 2","41,7866","90,0082","10,2235","11,2141","9,525","11,8999","14,3703",NA
"XC69_1.tif - 1","36,4203","71,1102","9,3599","9,5885","8,8265","10,7315","12,1809",NA
"XC69_2.tif - 1","48,2896","117,6511","12,5222","13,6525","9,8552","14,4526","16,5327",NA
"XC69_2.tif - 2","41,0664","83,9474","10,2235","10,7696","8,9027","11,8364","12,6239",NA
"XC70_1.tif - 1","41,3627","78,1958","9,6393","10,033","8,0899","11,6713","13,2945",NA
"XC70_1.tif - 2","38,2036","72,2868","9,3726","10,5029","7,2898","11,303","12,1549",NA
"XC70_2 (2).tif - 1","54,672","148,9437","12,7889","13,4874","11,9507","16,1417","18,5996",NA
"XC70_2.tif - 1","35,2299","65,6637","9,7917","10,1219","6,858","9,4742","10,2602",NA
"XC70_2.tif - 2","36,8366","69,7182","9,1313","9,5758","9,144","11,2649","12,063",NA
"XC71.tif - 1","39,3373","80,1189","9,7028","10,5664","8,7884","11,5697","13,5261",NA
"XC71.tif - 2","38,6038","80,9716","9,7663","10,541","9,3218","11,5316","13,2224",NA
"XC71.tif - 3","36,1005","67,4183","9,5123","10,4394","8,2677","10,0584","11,6867",NA
"XC71.tif - 4","34,4253","60,9179","8,509","9,1313","8,4201","10,4775","12,103",NA
"XC72_1.tif - 1","39,0795","78,7832","9,2202","10,1346","9,2964","11,684","12,387",NA
"XC72_1.tif - 2","39,3143","78,8044","9,2202","9,9949","8,5725","12,0523","12,132",NA
"XC72_2.tif - 1","41,5919","89,1677","9,7282","10,3251","9,2583","12,7381","13,7902",NA
"XC72_2.tif - 2","31,7385","56,6828","8,2042","8,4709","8,3947","10,1092","10,116",NA
"XC74.tif - 1","38,6831","77,2761","9,2329","9,8044","9,4869","12,1031","12,3327",NA
"XC74.tif - 2","36,7508","66,4049","7,9121","9,1948","8,5217","11,6332","13,3065",NA
"XC75.tif - 1","37,3294","70,2611","8,6614","9,3218","9,7155","11,557","13,4086",NA
"XC75.tif - 2","33,1571","56,0147","7,3914","8,6233","8,1153","10,6807","11,7885",NA
"XC75.tif - 3","23,5276","28,4538","5,715","6,1595","4,8514","7,239","8,4533",NA
"XC75.tif - 4","41,316","82,564","9,1186","9,4742","10,9474","13,5128","13,865",NA
"XC76.tif - 1","33,1798","56,7678","7,2898","8,5471","8,255","10,3632","11,2753",NA
"XC76.tif - 2","34,1682","59,0179","7,874","9,271","8,0518","10,0203","11,6229",NA
"XC76.tif - 3","36,6916","67,051","7,874","9,1694","8,8392","11,9126","13,0026",NA
"XC76.tif - 4","38,4762","73,1668","9,5758","9,8806","7,9248","10,5283","11,4076",NA
"XC77.tif - 1","45,6837","102,8316","10,7823","11,7729","10,8585","13,208","15,7717",NA
